co2_ppmv,gpp_percent,d17o_o2_permil
194,99.780678,-0.365744
194,100.219322,-0.365387
194,100.657966,-0.365033
194,101.096609,-0.364681
194,101.535253,-0.364331
194,101.973897,-0.363983
194,102.412541,-0.363637
194,102.851185,-0.363294
194,103.289828,-0.362952
194,103.728472,-0.362611
194,104.167116,-0.362273
194,104.605760,-0.361937
194,105.044404,-0.361602
194,105.483047,-0.361269
194,105.921691,-0.360937
194,106.360335,-0.360607
194,106.798979,-0.360279
194,107.237623,-0.359952
194,107.676266,-0.359627
194,108.114910,-0.359303
194,108.553554,-0.358980
194,108.992198,-0.358659
194,109.430842,-0.358339
194,109.869485,-0.358020
194,110.308129,-0.357703
194,110.746773,-0.357387
194,111.185417,-0.357073
194,111.624061,-0.356759
194,112.062704,-0.356447
194,112.501348,-0.356136
194,112.939992,-0.355826
194,113.378636,-0.355517
194,113.817280,-0.355209
194,114.255923,-0.354903
194,114.694567,-0.354597
194,115.133211,-0.354293
194,115.571855,-0.353989
194,116.010499,-0.353687
194,116.449142,-0.353386
194,116.887786,-0.353086
194,117.326430,-0.352787
194,117.765074,-0.352489
194,118.203718,-0.352192
194,118.642361,-0.351897
194,119.081005,-0.351602
194,119.519649,-0.351308
194,119.958293,-0.351016
194,120.396937,-0.350725
194,120.835580,-0.350434
194,121.274224,-0.350145
194,121.712868,-0.349857
194,122.151512,-0.349570
194,122.590156,-0.349285
194,123.028799,-0.349000
194,123.467443,-0.348717
194,123.906087,-0.348435
194,124.344731,-0.348154
194,124.783375,-0.347875
194,125.222018,-0.347596
194,125.660662,-0.347320
194,126.099306,-0.347044
194,126.537950,-0.346770
194,126.976594,-0.346497
194,127.415237,-0.346226
194,127.853881,-0.345956
194,128.292525,-0.345688
194,128.731169,-0.345422
194,129.169813,-0.345157
194,129.608456,-0.344894
194,130.047100,-0.344632
194,130.485744,-0.344372
194,130.924388,-0.344114
194,131.363032,-0.343858
194,131.801675,-0.343604
194,132.240319,-0.343351
194,132.678963,-0.343101
194,133.117607,-0.342853
194,133.556251,-0.342607
194,133.994894,-0.342363
194,134.433538,-0.342121
194,134.872182,-0.341881
194,135.310826,-0.341644
194,135.749470,-0.341410
194,136.188113,-0.341177
